meeting_id,bank,meeting_date,doc_id,document_subtype,category,title,speaker,date_au,days_after_meeting,text_file,source_url,meeting_relation,linkage_confidence
BOC_2024_10,BOC,2024-10-23,DOC_75FF7BDDAB35,speech,Speeches,"Speech by Rhys Mendes, Deputy Governor of the Bank of Canada",Rhys Mendes,2024-11-26,34,"data\BOC\Speeches\2024-11-26 - Rhys Mendes - Speech by Rhys Mendes, Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2024/11/speech-rhys-mendes-november-26-2024/,speech_after_meeting,0.7
BOC_2024_12,BOC,2024-12-11,DOC_E3C08C98EC76,statement,Monetary Policy,Bank of Canada Interest Rate Announcement,,2024-12-11,0,data\BOC\Monetary Policy\2024-12-11 - Bank of Canada Interest Rate Announcement.txt,https://www.bankofcanada.ca/2024/12/bank-canada-interest-rate-announcement-december-11-2024/,anchor_statement,1.0
BOC_2024_12,BOC,2024-12-11,DOC_BA58AB581BA1,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2024-12-16,5,"data\BOC\Speeches\2024-12-16 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2024/12/speech-tiff-macklem-december-16-2024/,speech_after_meeting,0.7
BOC_2024_12,BOC,2024-12-11,DOC_70B2EA7AAEFC,speech,Speeches,"Speech by Toni Gravelle, Deputy Governor of the Bank of Canada",Toni Gravelle,2025-01-16,36,"data\BOC\Speeches\2025-01-16 - Toni Gravelle - Speech by Toni Gravelle, Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/01/speech-toni-gravelle-january-16-2025/,speech_after_meeting,0.7
BOC_2025_01,BOC,2025-01-29,DOC_2228339F66ED,statement,Monetary Policy,Monetary Policy Report,,2025-01-29,0,data\BOC\Monetary Policy\2025-01-29 - Monetary Policy Report.txt,https://www.bankofcanada.ca/publications/mpr/mpr-2025-01-29/,anchor_statement,1.0
BOC_2025_01,BOC,2025-01-29,DOC_57A84EB338D9,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2025-02-21,23,"data\BOC\Speeches\2025-02-21 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/02/speech-tiff-macklem-february-21-2025/,speech_after_meeting,0.7
BOC_2025_03,BOC,2025-03-12,DOC_779D85D625B8,statement,Monetary Policy,Bank of Canada Interest Rate Announcement,,2025-03-12,0,data\BOC\Monetary Policy\2025-03-12 - Bank of Canada Interest Rate Announcement.txt,https://www.bankofcanada.ca/2025/03/bank-canada-interest-rate-announcement-march-12-2025/,anchor_statement,1.0
BOC_2025_03,BOC,2025-03-12,DOC_D8CD47CB7994,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2025-03-20,8,"data\BOC\Speeches\2025-03-20 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/03/speech-tiff-macklem-governor-march-20-2025/,speech_after_meeting,0.7
BOC_2025_04,BOC,2025-04-16,DOC_0991EB1A9864,statement,Monetary Policy,Monetary Policy Report,,2025-04-16,0,data\BOC\Monetary Policy\2025-04-16 - Monetary Policy Report.txt,https://www.bankofcanada.ca/publications/mpr/mpr-2025-04-16/,anchor_statement,1.0
BOC_2025_06,BOC,2025-06-04,DOC_CC9B4BF65709,statement,Monetary Policy,Bank of Canada Interest Rate Announcement,,2025-06-04,0,data\BOC\Monetary Policy\2025-06-04 - Bank of Canada Interest Rate Announcement.txt,https://www.bankofcanada.ca/2025/06/bank-canada-interest-rate-announcement-june-4-2025/,anchor_statement,1.0
BOC_2025_06,BOC,2025-06-04,DOC_036A1141404C,speech,Speeches,"Speech by Sharon Kozicki, Deputy Governor of the Bank of Canada",Sharon Kozicki,2025-06-05,1,"data\BOC\Speeches\2025-06-05 - Sharon Kozicki - Speech by Sharon Kozicki, Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/06/speech-sharon-kozicki-june-5-2025/,speech_after_meeting,0.7
BOC_2025_06,BOC,2025-06-04,DOC_3D804668D246,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2025-06-18,14,"data\BOC\Speeches\2025-06-18 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/06/speech-tiff-macklem-2025-06-18/,speech_after_meeting,0.7
BOC_2025_07,BOC,2025-07-30,DOC_E0C2D118ACCD,statement,Monetary Policy,Monetary Policy Report,,2025-07-30,0,data\BOC\Monetary Policy\2025-07-30 - Monetary Policy Report.txt,https://www.bankofcanada.ca/publications/mpr/mpr-2025-07-30/,anchor_statement,1.0
BOC_2025_07,BOC,2025-07-30,DOC_22CA8F5695EF,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2025-08-26,27,"data\BOC\Speeches\2025-08-26 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/08/speech-tiff-macklem-august-26-2025/,speech_after_meeting,0.7
BOC_2025_09,BOC,2025-09-17,DOC_9557ADF0277D,statement,Monetary Policy,Bank of Canada Interest Rate Announcement,,2025-09-17,0,data\BOC\Monetary Policy\2025-09-17 - Bank of Canada Interest Rate Announcement.txt,https://www.bankofcanada.ca/2025/09/bank-canada-interest-rate-announcement-september-17-2025/,anchor_statement,1.0
BOC_2025_09,BOC,2025-09-17,DOC_C27419F82665,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2025-09-23,6,"data\BOC\Speeches\2025-09-23 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/09/speech-tiff-macklem-september-23-2025/,speech_after_meeting,0.7
BOC_2025_09,BOC,2025-09-17,DOC_F8EBEDC409CE,speech,Speeches,"Speech by Rhys Mendes, Deputy Governor of the Bank of Canada",Rhys Mendes,2025-10-02,15,"data\BOC\Speeches\2025-10-02 - Rhys Mendes - Speech by Rhys Mendes, Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/10/speech-rhys-mendes-october-2-2025/,speech_after_meeting,0.7
BOC_2025_09,BOC,2025-09-17,DOC_21E7F276C289,speech,Speeches,"Speech by Carolyn Rogers, Senior Deputy Governor of the Bank of Canada",Carolyn Rogers,2025-10-09,22,"data\BOC\Speeches\2025-10-09 - Carolyn Rogers - Speech by Carolyn Rogers, Senior Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/10/speech-carolyn-rogers-2025-10-09/,speech_after_meeting,0.7
BOC_2025_10,BOC,2025-10-29,DOC_DFF43FF2E3B8,statement,Monetary Policy,Monetary Policy Report,,2025-10-29,0,data\BOC\Monetary Policy\2025-10-29 - Monetary Policy Report.txt,https://www.bankofcanada.ca/publications/mpr/mpr-2025-10-29/,anchor_statement,1.0
BOC_2025_10,BOC,2025-10-29,DOC_626B3C0F1A44,speech,Speeches,"Speech by Nicolas Vincent, External Deputy Governor of the Bank of Canada",Nicolas Vincent,2025-11-19,21,"data\BOC\Speeches\2025-11-19 - Nicolas Vincent - Speech by Nicolas Vincent, External Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/11/speech-nicolas-vincent-2025-11-19/,speech_after_meeting,0.7
BOC_2025_12_A,BOC,2025-12-10,DOC_58B67E58A9A5,statement,Monetary Policy,Bank of Canada Interest Rate Announcement,,2025-12-10,0,data\BOC\Monetary Policy\2025-12-10 - Bank of Canada Interest Rate Announcement.txt,https://www.bankofcanada.ca/2025/12/bank-of-canada-interest-rate-announcement-2025-12-10/,anchor_statement,1.0
BOC_2025_12_B,BOC,2025-12-10,DOC_847F032FCF63,statement,Monetary Policy,Interest Rate Announcement,,2025-12-10,0,data\BOC\Monetary Policy\2025-12-10 - Interest Rate Announcement.txt,https://www.bankofcanada.ca/2025/12/interest-rate-announcement-december-10-2025/,anchor_statement,1.0
BOC_2025_12_B,BOC,2025-12-10,DOC_71BD5422906E,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2025-12-16,6,"data\BOC\Speeches\2025-12-16 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2025/12/speech-tiff-macklem-2025-12-16/,speech_after_meeting,0.7
BOC_2026_01_A,BOC,2026-01-28,DOC_5BBB43FAC9EC,statement,Monetary Policy,Interest Rate Announcement and Monetary Policy Report,,2026-01-28,0,data\BOC\Monetary Policy\2026-01-28 - Interest Rate Announcement and Monetary Policy Report.txt,https://www.bankofcanada.ca/2026/01/interest-rate-announcement-and-monetary-policy-report-january-28-2026/,anchor_statement,1.0
BOC_2026_01_B,BOC,2026-01-28,DOC_374B2DED440C,statement,Monetary Policy,Monetary Policy Report,,2026-01-28,0,data\BOC\Monetary Policy\2026-01-28 - Monetary Policy Report.txt,https://www.bankofcanada.ca/publications/mpr/mpr-2026-01-28/,anchor_statement,1.0
BOC_2026_01_B,BOC,2026-01-28,DOC_FC10D4B7BE42,speech,Speeches,"Speech by Tiff Macklem, Governor of the Bank of Canada",Tiff Macklem,2026-02-05,8,"data\BOC\Speeches\2026-02-05 - Tiff Macklem - Speech by Tiff Macklem, Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2026/02/speech-by-tiff-macklem-governor-of-the-bank-of-canada-2026-02-05/,speech_after_meeting,0.7
BOC_2026_01_B,BOC,2026-01-28,DOC_0E7444F4C5EC,speech,Speeches,"Speech by Sharon Kozicki, Deputy Governor of the Bank of Canada",Sharon Kozicki,2026-03-02,33,"data\BOC\Speeches\2026-03-02 - Sharon Kozicki - Speech by Sharon Kozicki, Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2026/03/speech-by-sharon-kozicki-2026-03-02/,speech_after_meeting,0.7
BOC_2026_03_A,BOC,2026-03-18,DOC_C78A323CFD04,statement,Monetary Policy,Bank of Canada Interest Rate Announcement,,2026-03-18,0,data\BOC\Monetary Policy\2026-03-18 - Bank of Canada Interest Rate Announcement.txt,https://www.bankofcanada.ca/2026/03/bank-of-canada-interest-rate-announcement-2026-03-18/,anchor_statement,1.0
BOC_2026_03_B,BOC,2026-03-18,DOC_55713EF8FE92,statement,Monetary Policy,Interest Rate Announcement,,2026-03-18,0,data\BOC\Monetary Policy\2026-03-18 - Interest Rate Announcement.txt,https://www.bankofcanada.ca/2026/03/interest-rate-announcement-march-18-2026/,anchor_statement,1.0
BOC_2026_03_B,BOC,2026-03-18,DOC_E8A15D787C55,speech,Speeches,"Speech by Carolyn Rogers, Senior Deputy Governor of the Bank of Canada",Carolyn Rogers,2026-03-26,8,"data\BOC\Speeches\2026-03-26 - Carolyn Rogers - Speech by Carolyn Rogers, Senior Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2026/03/speech-carolyn-rogers-2026-03-26/,speech_after_meeting,0.7
BOC_2026_04_A,BOC,2026-04-29,DOC_02A8DFA9C4A8,statement,Monetary Policy,Interest Rate Announcement and Monetary Policy Report,,2026-04-29,0,data\BOC\Monetary Policy\2026-04-29 - Interest Rate Announcement and Monetary Policy Report.txt,https://www.bankofcanada.ca/2026/04/interest-rate-announcement-and-monetary-policy-report-april-29-2026/,anchor_statement,1.0
BOC_2026_04_B,BOC,2026-04-29,DOC_E735138C9D8A,statement,Monetary Policy,Monetary Policy Report,,2026-04-29,0,data\BOC\Monetary Policy\2026-04-29 - Monetary Policy Report.txt,https://www.bankofcanada.ca/publications/mpr/mpr-2026-04-29/,anchor_statement,1.0
BOC_2026_04_C,BOC,2026-04-29,DOC_9BF697388A5F,statement,Monetary Policy,Monetary Policy Report—April 2026,,2026-04-29,0,data\BOC\Monetary Policy\2026-04-29 - Monetary Policy Report—April 2026.txt,https://www.bankofcanada.ca/publications/mpr/mpr-2026-04-29/,anchor_statement,1.0
BOC_2026_04_C,BOC,2026-04-29,DOC_69448DDFD2A6,speech,Speeches,"Speech by Michelle Alexopoulos, External Deputy Governor of the Bank of Canada",Michelle Alexopoulos,2026-05-13,14,"data\BOC\Speeches\2026-05-13 - Michelle Alexopoulos - Speech by Michelle Alexopoulos, External Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2026/05/speech-michelle-alexopoulos-2026-05-13/,speech_after_meeting,0.7
BOC_2026_04_C,BOC,2026-04-29,DOC_84B3C030EACD,speech,Speeches,"Speech by Nicolas Vincent, External Deputy Governor of the Bank of Canada",Nicolas Vincent,2026-05-26,27,"data\BOC\Speeches\2026-05-26 - Nicolas Vincent - Speech by Nicolas Vincent, External Deputy Governor of the Bank of Canada.txt",https://www.bankofcanada.ca/2026/05/speech-nicolas-vincent-2026-05-26/,speech_after_meeting,0.7
BOC_2026_04_C,BOC,2026-04-29,DOC_E933F85F2E4D,speech,Speeches,BOC Speeches,Michelle Alexopoulos,2026-06-01,33,data\BOC\Speeches\2026-06-01 - Michelle Alexopoulos - BOC Speeches.txt,https://www.bankofcanada.ca/wp-content/uploads/2026/05/remarks-130526.pdf,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_E24194C5485F,speech,Speeches,A new dawn for payments - speech by Victoria Cleland,Victoria Cleland,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Victoria Cleland - A new dawn for payments - speech by Victoria Cleland.txt,https://www.bankofengland.co.uk/-/media/boe/files/speech/2021/june/a-new-dawn-for-payments-annex.pdf,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_79464A36D570,speech,Speeches,Accessible FX market disclosures: Transparency for a virtual environment - speech by Rohan Churm,Rohan Churm,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Rohan Churm - Accessible FX market disclosures_ Transparency for a virtual environment - speech by Rohan Churm.txt,https://www.bankofengland.co.uk/-/media/boe/files/speech/2021/July/accessible-fx-market-disclosures-transparency-for-a-virtual-environment-annex-and-references.pdf,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_2A38C271951A,speech,Speeches,Adaptability and resilience in the mutuals sector - speech by Charlotte Gerken,Charlotte Gerken,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Charlotte Gerken - Adaptability and resilience in the mutuals sector - speech by Charlotte Gerken.txt,https://www.bankofengland.co.uk/speech/2021/october/charlotte-gerken-speech-at-the-association-of-financial-mutuals-conference,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_3E2FE09080D9,speech,Speeches,An update on the economic outlook - speech by Gertjan Vlieghe,Gertjan Vlieghe,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Gertjan Vlieghe - An update on the economic outlook - speech by Gertjan Vlieghe.txt,https://www.bankofengland.co.uk/-/media/boe/files/speech/2021/february/an-update-on-the-economic-outlook-speech-by-gertjan-vlieghe.pdf,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_A12F817C22D1,speech,Speeches,Banknote character - speech by Andrew Bailey,Andrew Bailey,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Andrew Bailey - Banknote character - speech by Andrew Bailey.txt,https://www.bankofengland.co.uk/speech/2021/march/andrew-bailey-unveil-of-the-alan-turing-50-polymer-banknote,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_405A9BD2F81A,speech,Speeches,"Bigger, broader, faster, stronger? How much should tomorrow’s central bank balance sheets do – and what should we leave to financial markets? Some principles for good parenting - speech by Andrew Hauser",Andrew Hauser,2021-06-01,0,"data\BOE\Speeches\2021-06-01 - Andrew Hauser - Bigger, broader, faster, stronger_ How much should tomorrow’s central bank balance sheets do – and what should we leave t.txt",https://www.bankofengland.co.uk/-/media/boe/files/speech/2021/september/bigger-broader-faster-stronger-speech-by-andrew-hauser.pdf,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_65DB8E20721C,speech,Speeches,Brave new world - speech by Sam Woods,Sam Woods,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Sam Woods - Brave new world - speech by Sam Woods.txt,https://www.bankofengland.co.uk/speech/2021/march/sam-woods-association-of-british-insurers-executives-neds-and-chairs-network-webinar,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_5B0DE7A93D80,speech,Speeches,Building financial market resilience: From diagnosis to prescription - speech by Jonathan Hall,Jonathan Hall,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Jonathan Hall - Building financial market resilience_ From diagnosis to prescription - speech by Jonathan Hall.txt,https://www.bankofengland.co.uk/speech/2021/may/jon-hall-building-financial-market-resilience,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_3C63A4D6FDCC,speech,Speeches,Building strong and simple: the first step - speech by Victoria Saporta,Victoria Saporta,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Victoria Saporta - Building strong and simple_ the first step - speech by Victoria Saporta.txt,https://www.bankofengland.co.uk/speech/2021/april/victoria-saporta-boe-webinar-on-pra-policymaking-and-the-strong-and-simple-discussion-paper,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_B77DC324D96A,speech,Speeches,Central Bank Digital Currency: An update on the Bank of England’s work - speech by Tom Mutton,Tom Mutton,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Tom Mutton - Central Bank Digital Currency_ An update on the Bank of England’s work - speech by Tom Mutton.txt,https://www.bankofengland.co.uk/speech/2021/june/tom-mutton-pre-recorded-keynote-speech-the-future-of-fintech-digital-conference,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_2C8889EC9B1F,speech,Speeches,Climate change – Plotting our course to Net Zero - speech by Sarah Breeden,Sarah Breeden,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Sarah Breeden - Climate change – Plotting our course to Net Zero - speech by Sarah Breeden.txt,https://www.bankofengland.co.uk/speech/2021/may/sarah-breeden-managing-the-impact-of-climate-change,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_2328C0561156,speech,Speeches,Covid and the composition of spending - speech by Ben Broadbent,Ben Broadbent,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Ben Broadbent - Covid and the composition of spending - speech by Ben Broadbent.txt,https://www.bankofengland.co.uk/-/media/boe/files/speech/2021/january/covid-and-the-composition-of-spending-speech-by-ben-broadbent.pdf,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_30214EF5BB2B,speech,Speeches,Cyber Risk: 2015 to 2027 and the Penrose steps - speech by Lyndon Nelson,Lyndon Nelson,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Lyndon Nelson - Cyber Risk_ 2015 to 2027 and the Penrose steps - speech by Lyndon Nelson.txt,https://www.bankofengland.co.uk/speech/2021/may/lyndon-nelson-the-8th-operational-resilience-and-cyber-security-summit,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_173D381AE8E1,speech,Speeches,Descending safely: Life after Libor - speech by Andrew Bailey,Andrew Bailey,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Andrew Bailey - Descending safely_ Life after Libor - speech by Andrew Bailey.txt,https://www.bankofengland.co.uk/speech/2021/may/andrew-bailey-a-moderated-discussion-with-john-williams-president-of-ny-fed,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_D0E12E8DB1C9,speech,Speeches,Developments in the PRA’s supervision of annuity providers - speech by Charlotte Gerken,Charlotte Gerken,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Charlotte Gerken - Developments in the PRA’s supervision of annuity providers - speech by Charlotte Gerken.txt,https://www.bankofengland.co.uk/speech/2021/april/charlotte-gerken-pre-recorded-18th-bulk-annuities-conference,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_9366AF01A892,speech,Speeches,Do we need ‘public money’? - speech by Jon Cunliffe,Jon Cunliffe,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Jon Cunliffe - Do we need ‘public money’_ - speech by Jon Cunliffe.txt,https://www.bankofengland.co.uk/speech/2021/may/jon-cunliffe-omfif-digital-monetary-institute-meeting,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_E8534E6C022A,speech,Speeches,Emerging prudential lessons from the Covid stress - speech by Victoria Saporta,Victoria Saporta,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Victoria Saporta - Emerging prudential lessons from the Covid stress - speech by Victoria Saporta.txt,https://www.bankofengland.co.uk/-/media/boe/files/speech/2021/july/emerging-prudential-lessons-from-the-covid-stress-speech-by-victoria-saporta.pdf,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_09C2C8FDECBE,speech,Speeches,From master masons to information architects: how standards can transform reporting (and bring benefits well beyond it) - speech by Gareth Ramsay,Gareth Ramsay,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Gareth Ramsay - From master masons to information architects_ how standards can transform reporting (and bring benefits well beyond it) -.txt,https://www.bankofengland.co.uk/speech/2021/april/gareth-ramsay-webinar-hosted-by-the-edm-council,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_4B695E132D30,speech,Speeches,Future world of work - speech by Joanna Place,Joanna Place,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Joanna Place - Future world of work - speech by Joanna Place.txt,https://www.bankofengland.co.uk/speech/2021/july/joanna-place-speech-at-the-investment-association-future-world-of-work,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_2B832F5499C3,speech,Speeches,Getting over Covid - speech by Andrew Bailey,Andrew Bailey,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Andrew Bailey - Getting over Covid - speech by Andrew Bailey.txt,https://www.bankofengland.co.uk/-/media/boe/files/speech/2021/march/getting-over-covid-speech-by-andrew-bailey.pdf,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_57ADAA6B42FF,speech,Speeches,Goldilocks and the three pillars: how much capital is just right? - speech by Anna Sweeney,Anna Sweeney,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Anna Sweeney - Goldilocks and the three pillars_ how much capital is just right_ - speech by Anna Sweeney.txt,https://www.bankofengland.co.uk/speech/2021/february/anna-sweeney-westminster-business-forum,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_3DCDAF813A5E,speech,Speeches,Housing – the quiet decade - speech by Jon Cunliffe,Jon Cunliffe,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Jon Cunliffe - Housing – the quiet decade - speech by Jon Cunliffe.txt,https://www.bankofengland.co.uk/-/media/boe/files/speech/2021/may/housing-the-quiet-decade-speech-by-jon-cunliffe.pdf,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_EB60FF4E4AF8,speech,Speeches,Inflation now and then - speech by Jonathan Haskel,Jonathan Haskel,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Jonathan Haskel - Inflation now and then - speech by Jonathan Haskel.txt,https://www.bankofengland.co.uk/-/media/boe/files/speech/2021/november/inflation-now-and-then-speech-by-jonathan-haskel.pdf,speech_after_meeting,0.7
BOE_2021_06_D,BOE,2021-06-01,DOC_9C0202BE09C0,speech,Speeches,Inflation: a tiger by the tail? - speech by Andy Haldane,Andy Haldane,2021-06-01,0,data\BOE\Speeches\2021-06-01 - Andy Haldane - Inflation_ a tiger by the tail_ - speech by Andy Haldane.txt,https://www.bankofengland.co.uk/-/media/boe/files/speech/2021/february/inflation-a-tiger-by-the-tail-speech-by-andy-haldane.pdf,speech_after_meeting,0.7
