bank,speaker,documents_scored,average_score,average_confidence,latest_date,latest_score,most_hawkish_score,most_dovish_score
FED,Welcoming Remarks,17,0.058823529411764705,0.04064705882352941,2025-11-21,0.0,2.0,-1.0
FED,Welcome Remarks,4,0.0,0.0,2025-10-16,0.0,0.0,0.0
FED,Commencement Address,3,0.0,0.0,2023-05-15,0.0,0.0,0.0
FED,Commencement Remarks,2,0.0,0.0,2025-05-20,0.0,0.0,0.0
FED,A New Class of Trailblazers,1,0.0,0.0,2024-06-07,0.0,0.0,0.0
FED,A Transformative Experience,1,0.0,0.0,2024-06-17,0.0,0.0,0.0
FED,A View on Financial Stability,1,0.0,0.0,2025-05-23,0.0,0.0,0.0
FED,AI and Central Banking,1,0.0,0.0,2025-11-11,0.0,0.0,0.0
FED,Acceptance Remarks,1,0.0,0.0,2026-05-31,0.0,0.0,0.0
FED,Approaching Policymaking Pragmatically,1,0.0,0.19,2024-11-20,0.0,0.0,0.0
FED,Brief Remarks on Stablecoins,1,0.0,0.0,2026-03-31,0.0,0.0,0.0
FED,Building Economic Resilience in Communities,1,0.0,0.0,2021-06-23,0.0,0.0,0.0
FED,Capital Supports Lending,1,0.0,0.0,2023-10-09,0.0,0.0,0.0
FED,Challenges Facing Central Bankers,1,0.0,0.0,2025-01-08,0.0,0.0,0.0
FED,Climate Change and Financial Stability,1,0.0,0.0,2023-05-11,0.0,0.0,0.0
FED,Closing Remarks,1,0.0,0.0,2023-09-28,0.0,0.0,0.0
FED,Community Bank Access to Innovation,1,0.0,0.0,2021-09-09,0.0,0.0,0.0
FED,Community Banking,1,0.0,0.0,2025-02-27,0.0,0.0,0.0
FED,Current Assessment of Financial Stability,1,0.0,0.0,2024-05-08,0.0,0.0,0.0
FED,Defining a Bank,1,0.0,0.0,2024-02-12,0.0,0.0,0.0
FED,Developing Communities through Public-private Partnerships,1,0.0,0.0,2026-03-24,0.0,0.0,0.0
FED,Economic Inclusion in Lower-Income Communities,1,0.0,0.0,2021-02-22,0.0,0.0,0.0
FED,Embracing Innovation,1,0.0,0.0,2025-08-19,0.0,0.0,0.0
FED,Expanding Financial Inclusion,1,0.0,0.0,2025-07-15,0.0,0.0,0.0
FED,Fighting Inflation in Challenging Times,1,0.0,0.0,2022-08-06,0.0,0.0,0.0
FED,Financial Education,1,0.0,0.0,2022-11-17,0.0,0.0,0.0
FED,Financial Stability and Macroeconomic Policy,1,0.0,0.0,2023-06-16,0.0,0.0,0.0
FED,Holistic Capital Review,1,0.0,0.0,2023-07-10,0.0,0.0,0.0
FED,Innovation in the Financial System,1,0.0,0.0,2024-06-17,0.0,0.0,0.0
FED,Interlinking Fast Payment Systems,1,0.0,0.0,2024-08-28,0.0,0.0,0.0
FED,Keynote Remarks,1,0.0,0.0,2021-03-22,0.0,0.0,0.0
FED,Large Bank Supervision and Regulation,1,0.0,0.0,2022-09-30,0.0,0.0,0.0
FED,Managing Financial Crises,1,0.0,0.0,2025-02-25,0.0,0.0,0.0
FED,Multiple Scenarios in Stress Testing,1,0.0,0.0,2023-10-19,0.0,0.0,0.0
FED,One Transitory Shock After Another,1,0.0,0.0,2026-04-17,0.0,0.0,0.0
FED,Opportunity and Inclusive Economic Growth,1,0.0,0.0,2022-11-17,0.0,0.0,0.0
FED,Panel Remarks,1,0.0,0.0,2023-09-27,0.0,0.0,0.0
FED,Pro Tempore Jerome H. Powell,1,0.0,0.15,2022-03-21,0.0,0.0,0.0
FED,Promoting an Inclusive Financial System,1,0.0,0.0,2024-07-09,0.0,0.0,0.0
FED,Reflections on Financial Stability,1,0.0,0.0,2026-03-26,0.0,0.0,0.0
FED,Regulating Stablecoins,1,0.0,0.0,2022-10-12,0.0,0.0,0.0
FED,Remarks to Delta Sigma Theta,1,0.0,0.0,2023-01-21,0.0,0.0,0.0
FED,Review of Silicon Valley Bank,1,0.0,0.0,2024-02-16,0.0,0.0,0.0
FED,Risk in the Crypto Markets,1,0.0,0.0,2022-06-03,0.0,0.0,0.0
FED,Stablecoins as Private Money,1,0.0,0.0,2022-09-07,0.0,0.0,0.0
FED,Supervision and Regulation,1,0.0,0.0,2026-02-26,0.0,0.0,0.0
FED,Supporting Small Businesses,1,0.0,0.0,2026-03-31,0.0,0.0,0.0
FED,Technological Advancements in Payments,1,0.0,0.0,2025-08-20,0.0,0.0,0.0
FED,The Dollar's International Role,1,0.0,0.0,2024-02-15,0.0,0.0,0.0
FED,The Inflation Outlook,1,0.0,0.0,2025-12-15,0.0,0.0,0.0
FED,The Next Steps on Capital,1,0.0,0.0,2024-09-10,0.0,0.0,0.0
FED,Thoughts on the Crypto Ecosystem,1,0.0,0.0,2023-02-10,0.0,0.0,0.0
FED,Why Bank Capital Matters,1,0.0,0.0,2022-12-01,0.0,0.0,0.0
FED,Brief Remarks,5,-0.2,0.047799999999999995,2025-10-22,0.0,0.0,-1.0
FED,Stephen I. Miran,5,-0.2,0.10819999999999999,2026-03-26,0.0,1.0,-2.0
FED,A Case for Cautious Optimism,1,-1.0,0.239,2023-01-20,-1.0,-1.0,-1.0
FED,Getting Closer,1,-1.0,0.239,2024-07-17,-1.0,-1.0,-1.0
FED,Policy Risks Have Changed,1,-1.0,0.254,2026-05-22,-1.0,-1.0,-1.0
FED,The Global Fight Against Inflation,1,-1.6931471805599454,0.273,2024-10-08,-1.6931471805599454,-1.6931471805599454,-1.6931471805599454
FED,Important Questions for Economic Research,1,-2.0,0.355,2023-04-21,-2.0,-2.0,-2.0
FED,The Unstable Phillips Curve,1,-2.0,0.302,2023-03-31,-2.0,-2.0,-2.0
FED,Assessing Maximum Employment,1,-3.386294361119891,0.349,2025-05-09,-3.386294361119891,-3.386294361119891,-3.386294361119891
FED,Opening Remarks on Productivity Dynamics,1,-3.386294361119891,0.349,2025-05-09,-3.386294361119891,-3.386294361119891,-3.386294361119891
FED,A Tale of Two Outlooks,1,-4.0,0.556,2025-04-14,-4.0,-4.0,-4.0
FED,"Little, Progress Seems to be Resuming.",1,-4.09861228866811,0.628,2024-05-21,-4.09861228866811,-4.09861228866811,-4.09861228866811
